,Payment Date,Ending Balance
0,08-2023,17035.13
1,07-2023,16963.07
2,09-2023,16101.24
3,09-2023,15390.24
4,08-2023,15090.13
5,08-2023,16580.13
6,08-2023,17075.13
7,08-2023,17940.13
8,08-2023,17724.13
9,08-2023,17365.13
10,09-2023,16937.24
11,07-2023,18354.07
12,07-2023,18117.07
13,07-2023,16796.07
14,08-2023,16687.13
15,08-2023,18147.13
16,08-2023,17442.13
17,09-2023,15270.24
18,08-2023,16632.13
19,08-2023,16405.13
20,07-2023,17103.07
21,08-2023,18468.13
22,08-2023,17006.13
23,08-2023,16593.13
24,08-2023,16510.13
25,08-2023,15592.13
26,09-2023,16951.24
27,09-2023,15711.24
28,08-2023,15572.13
29,08-2023,16741.13
30,09-2023,15753.24
31,08-2023,17373.13
32,08-2023,15628.13
33,08-2023,18005.13
34,09-2023,15145.24
35,08-2023,16806.13
36,08-2023,16750.13
37,08-2023,17798.13
38,08-2023,16662.13
39,08-2023,17294.13
40,08-2023,16942.13
41,08-2023,16581.13
42,09-2023,15661.24
43,08-2023,17229.13
44,08-2023,16380.13
45,09-2023,16264.24
46,08-2023,17615.13
47,08-2023,16286.13
48,08-2023,15915.13
49,08-2023,17350.13
50,09-2023,15547.24
51,09-2023,17189.24
52,08-2023,16110.13
53,08-2023,17051.13
54,08-2023,16424.13
55,08-2023,16427.13
56,08-2023,18235.13
57,08-2023,15776.13
58,09-2023,16144.24
59,09-2023,16603.24
60,08-2023,16567.13
61,09-2023,15173.24
62,08-2023,15858.13
63,09-2023,15425.24
64,07-2023,18782.07
65,08-2023,17092.13
66,08-2023,16464.13
67,09-2023,15034.24
68,08-2023,15807.13
69,07-2023,18312.07
70,08-2023,18944.13
71,08-2023,17018.13
72,08-2023,16087.13
73,08-2023,16415.13
74,08-2023,18384.13
75,08-2023,16213.13
76,08-2023,17830.13
77,08-2023,15556.13
78,08-2023,17075.13
79,08-2023,15310.13
80,08-2023,17199.13
81,07-2023,19537.07
82,07-2023,18881.07
83,08-2023,17245.13
84,08-2023,18110.13
85,07-2023,18111.07
86,08-2023,16483.13
87,09-2023,16392.24
88,09-2023,15254.24
89,08-2023,15673.13
90,08-2023,18184.13
91,09-2023,15285.24
92,08-2023,15820.13
93,09-2023,16156.24
94,08-2023,15254.13
95,08-2023,15703.13
96,08-2023,15839.13
97,07-2023,19296.07
98,08-2023,18471.13
99,08-2023,16101.13
100,08-2023,16432.13
101,08-2023,17136.13
102,08-2023,16715.13
103,07-2023,18187.07
104,08-2023,15750.13
105,07-2023,18177.07
106,09-2023,15199.24
107,09-2023,15906.24
108,07-2023,16957.07
109,08-2023,16462.13
110,08-2023,15992.13
111,08-2023,18477.13
112,08-2023,15189.13
113,07-2023,17402.07
114,09-2023,15124.24
115,08-2023,17268.13
116,07-2023,18171.07
117,07-2023,18672.07
118,07-2023,16381.07
119,08-2023,18142.13
120,08-2023,18239.13
121,08-2023,15902.13
122,08-2023,18066.13
123,08-2023,16632.13
124,08-2023,16658.13
125,08-2023,15936.13
126,07-2023,17520.07
127,08-2023,15753.13
128,09-2023,16205.24
129,09-2023,15973.24
130,08-2023,17644.13
131,09-2023,16683.24
132,07-2023,18385.07
133,08-2023,19188.13
134,07-2023,18853.07
135,08-2023,17603.13
136,09-2023,15163.24
137,08-2023,18033.13
138,08-2023,17914.13
139,08-2023,18307.13
140,08-2023,17357.13
141,08-2023,17858.13
142,08-2023,15833.13
143,07-2023,17607.07
144,08-2023,15968.13
145,07-2023,18808.07
146,09-2023,17741.24
147,08-2023,16765.13
148,08-2023,18270.13
149,08-2023,15432.13
150,07-2023,18049.07
151,08-2023,17510.13
152,08-2023,16599.13
153,08-2023,17026.13
154,08-2023,16079.13
155,08-2023,18705.13
156,08-2023,15212.13
157,08-2023,16336.13
158,09-2023,17635.24
159,09-2023,15703.24
160,08-2023,16536.13
161,08-2023,17432.13
162,09-2023,15430.24
163,08-2023,16671.13
164,08-2023,17053.13
165,08-2023,16369.13
166,08-2023,16649.13
167,08-2023,16027.13
168,08-2023,15984.13
169,08-2023,15961.13
170,09-2023,15397.24
171,08-2023,16139.13
172,08-2023,16146.13
173,08-2023,16070.13
174,08-2023,17922.13
175,08-2023,16333.13
176,08-2023,19423.13
177,08-2023,17607.13
178,08-2023,18866.13
179,08-2023,15560.13
180,09-2023,15023.24
181,07-2023,19173.07
182,08-2023,17038.13
183,09-2023,15680.24
184,08-2023,17055.13
185,09-2023,15390.24
186,08-2023,16196.13
187,08-2023,17624.13
188,08-2023,15956.13
189,08-2023,15059.13
190,09-2023,16688.24
191,08-2023,16490.13
192,07-2023,18083.07
193,09-2023,15747.24
194,08-2023,15865.13
195,08-2023,17495.13
196,09-2023,16404.24
197,08-2023,17413.13
198,08-2023,15144.13
199,08-2023,15873.13
200,08-2023,15856.13
201,07-2023,16992.07
202,07-2023,18633.07
203,08-2023,18136.13
204,07-2023,17306.07
205,08-2023,15992.13
206,09-2023,16062.24
207,09-2023,15251.24
208,09-2023,15419.24
209,08-2023,16811.13
210,08-2023,18070.13
211,08-2023,18964.13
212,08-2023,17854.13
213,08-2023,16124.13
214,08-2023,17716.13
215,07-2023,19018.07
216,07-2023,19082.07
217,08-2023,17910.13
218,08-2023,15711.13
219,08-2023,16692.13
220,08-2023,15426.13
221,08-2023,17267.13
222,09-2023,16497.24
223,08-2023,17929.13
224,07-2023,18400.07
225,07-2023,18364.07
226,09-2023,15067.24
227,08-2023,15574.13
228,08-2023,16775.13
229,08-2023,15771.13
230,09-2023,16546.24
231,08-2023,15929.13
232,08-2023,18421.13
233,08-2023,15573.13
234,08-2023,15181.13
235,09-2023,16237.24
236,08-2023,17434.13
237,08-2023,16333.13
238,08-2023,15103.13
239,08-2023,17162.13
240,09-2023,17004.24
241,08-2023,16950.13
242,08-2023,18360.13
243,07-2023,16597.07
244,07-2023,19549.07
245,09-2023,16672.24
246,09-2023,16506.24
247,08-2023,16482.13
248,07-2023,16527.07
249,07-2023,17715.07
250,07-2023,19205.07
251,08-2023,18233.13
252,09-2023,15883.24
253,08-2023,18013.13
254,09-2023,15023.24
255,08-2023,15874.13
256,09-2023,15834.24
257,08-2023,17057.13
258,07-2023,19189.07
259,08-2023,15561.13
260,08-2023,16205.13
261,08-2023,16800.13
262,07-2023,19586.07
263,07-2023,18763.07
264,08-2023,18380.13
265,08-2023,16627.13
266,08-2023,16733.13
267,08-2023,16364.13
268,08-2023,16076.13
269,08-2023,15670.13
270,08-2023,18547.13
271,09-2023,15451.24
272,09-2023,15176.24
273,08-2023,15235.13
274,08-2023,17011.13
275,08-2023,17036.13
276,08-2023,15257.13
277,08-2023,15986.13
278,09-2023,17015.24
279,08-2023,16469.13
280,08-2023,17955.13
281,08-2023,16160.13
282,09-2023,15148.24
283,08-2023,15732.13
284,08-2023,15048.13
285,09-2023,15396.24
286,08-2023,15891.13
287,07-2023,18252.07
288,08-2023,17770.13
289,09-2023,16402.24
290,07-2023,18593.07
291,08-2023,17207.13
292,08-2023,19429.13
293,07-2023,18843.07
294,08-2023,17937.13
295,07-2023,18258.07
296,08-2023,17258.13
297,09-2023,17008.24
298,08-2023,15150.13
299,09-2023,15279.24
300,09-2023,15277.24
301,08-2023,17249.13
302,09-2023,16401.24
303,08-2023,17271.13
304,09-2023,16129.24
305,08-2023,16266.13
306,08-2023,16930.13
307,07-2023,18016.07
308,08-2023,17511.13
309,08-2023,17365.13
310,09-2023,16851.24
311,08-2023,17838.13
312,08-2023,16136.13
313,07-2023,16241.07
314,08-2023,15300.13
315,08-2023,16084.13
316,08-2023,15344.13
317,08-2023,15511.13
318,08-2023,16210.13
319,08-2023,16385.13
320,08-2023,17032.13
321,07-2023,18006.07
322,09-2023,15095.24
323,09-2023,15369.24
324,08-2023,15656.13
325,08-2023,16133.13
326,07-2023,17576.07
327,08-2023,16249.13
328,08-2023,17512.13
329,08-2023,15138.13
330,07-2023,16834.07
331,08-2023,16659.13
332,08-2023,15548.13
333,08-2023,18039.13
334,08-2023,17602.13
335,09-2023,16531.24
336,09-2023,15387.24
337,08-2023,15962.13
338,08-2023,17397.13
339,07-2023,17918.07
340,08-2023,18433.13
341,08-2023,15408.13
342,08-2023,18447.13
343,08-2023,16730.13
344,07-2023,17638.07
345,08-2023,16400.13
346,09-2023,17403.24
347,08-2023,18827.13
348,09-2023,15502.24
349,08-2023,17987.13
350,09-2023,15902.24
351,07-2023,18286.07
352,07-2023,19244.07
353,08-2023,15193.13
354,08-2023,16275.13
355,08-2023,15720.13
356,09-2023,15584.24
357,07-2023,16866.07
358,08-2023,17236.13
359,08-2023,18243.13
360,08-2023,17150.13
361,08-2023,19435.13
362,08-2023,16346.13
363,09-2023,15621.24
364,08-2023,18359.13
365,08-2023,15985.13
366,08-2023,17599.13
367,08-2023,16209.13
368,09-2023,15780.24
369,08-2023,15811.13
370,08-2023,17257.13
371,07-2023,17855.07
372,09-2023,16055.24
373,08-2023,17985.13
374,08-2023,16776.13
375,08-2023,15881.13
376,08-2023,18213.13
377,09-2023,18114.24
378,09-2023,15548.24
379,09-2023,15947.24
380,08-2023,18306.13
381,09-2023,16248.24
382,07-2023,18798.07
383,08-2023,16249.13
384,08-2023,15430.13
385,08-2023,16284.13
386,08-2023,17621.13
387,07-2023,18928.07
388,07-2023,16645.07
389,08-2023,16309.13
390,07-2023,17129.07
391,08-2023,15633.13
392,08-2023,16602.13
393,09-2023,15191.24
394,09-2023,15780.24
395,09-2023,15632.24
396,09-2023,15068.24
397,08-2023,17746.13
398,08-2023,16198.13
399,08-2023,16198.13
400,08-2023,17744.13
401,09-2023,16625.24
402,08-2023,15626.13
403,08-2023,16470.13
404,09-2023,15722.24
405,08-2023,16685.13
406,08-2023,16147.13
407,08-2023,17415.13
408,08-2023,17101.13
409,08-2023,18320.13
410,08-2023,18380.13
411,07-2023,18454.07
412,08-2023,16183.13
413,08-2023,16455.13
414,08-2023,18744.13
415,08-2023,16862.13
416,08-2023,16802.13
417,08-2023,16688.13
418,07-2023,18267.07
419,08-2023,15552.13
420,08-2023,16390.13
421,08-2023,15422.13
422,08-2023,16851.13
423,08-2023,17558.13
424,07-2023,18047.07
425,09-2023,16441.24
426,09-2023,15742.24
427,08-2023,16717.13
428,09-2023,17107.24
429,08-2023,15618.13
430,08-2023,16849.13
431,08-2023,16455.13
432,08-2023,17810.13
433,07-2023,17868.07
434,08-2023,16414.13
435,08-2023,17554.13
436,08-2023,17107.13
437,08-2023,16585.13
438,08-2023,17217.13
439,07-2023,18476.07
440,08-2023,17783.13
441,08-2023,16482.13
442,09-2023,16467.24
443,09-2023,17018.24
444,08-2023,16110.13
445,08-2023,15366.13
446,08-2023,15646.13
447,07-2023,16688.07
448,09-2023,15726.24
449,09-2023,16566.24
450,08-2023,15174.13
451,09-2023,15902.24
452,08-2023,17144.13
453,08-2023,18130.13
454,08-2023,15618.13
455,08-2023,18028.13
456,08-2023,15599.13
457,08-2023,15232.13
458,08-2023,16791.13
459,08-2023,17515.13
460,09-2023,15884.24
461,08-2023,17469.13
462,08-2023,15456.13
463,08-2023,17428.13
464,08-2023,17922.13
465,09-2023,15274.24
466,08-2023,17422.13
467,08-2023,15110.13
468,08-2023,15088.13
469,08-2023,15308.13
470,09-2023,15682.24
471,08-2023,17412.13
472,08-2023,17477.13
473,08-2023,16021.13
474,08-2023,15237.13
475,09-2023,16751.24
476,08-2023,17773.13
477,08-2023,18149.13
478,08-2023,15259.13
479,08-2023,16800.13
480,08-2023,16655.13
481,08-2023,17534.13
482,08-2023,16742.13
483,07-2023,18840.07
484,08-2023,17291.13
485,07-2023,18330.07
486,09-2023,15690.24
487,09-2023,15808.24
488,08-2023,16378.13
489,08-2023,17443.13
490,09-2023,15431.24
491,09-2023,16403.24
492,08-2023,17781.13
493,08-2023,15475.13
494,09-2023,16753.24
495,08-2023,17658.13
496,07-2023,18502.07
497,08-2023,15316.13
498,09-2023,17192.24
499,08-2023,15910.13
500,08-2023,16185.13
501,08-2023,15469.13
502,08-2023,17597.13
503,08-2023,17623.13
504,08-2023,17207.13
505,08-2023,16096.13
506,08-2023,15278.13
507,07-2023,19347.07
508,08-2023,18303.13
509,08-2023,17916.13
510,09-2023,15743.24
511,08-2023,15811.13
512,09-2023,16989.24
513,08-2023,15549.13
514,08-2023,15433.13
515,08-2023,16101.13
516,07-2023,18221.07
517,09-2023,16322.24
518,08-2023,19181.13
519,09-2023,15261.24
520,08-2023,16337.13
521,10-2023,15113.37
522,08-2023,19076.13
523,08-2023,16693.13
524,08-2023,17211.13
525,08-2023,17036.13
526,08-2023,18728.13
527,08-2023,17739.13
528,08-2023,17548.13
529,08-2023,18913.13
530,08-2023,15274.13
531,09-2023,16483.24
532,09-2023,16975.24
533,08-2023,17683.13
534,08-2023,19489.13
535,09-2023,16629.24
536,08-2023,17404.13
537,08-2023,15631.13
538,08-2023,17076.13
539,09-2023,16321.24
540,10-2023,16333.37
541,08-2023,17322.13
542,08-2023,16068.13
543,08-2023,18498.13
544,08-2023,16199.13
545,08-2023,15037.13
546,09-2023,16788.24
547,08-2023,17568.13
548,08-2023,17857.13
549,07-2023,18780.07
550,08-2023,18683.13
551,08-2023,16692.13
552,08-2023,15688.13
553,10-2023,16515.37
554,08-2023,18689.13
555,08-2023,18620.13
556,08-2023,18842.13
557,08-2023,16862.13
558,08-2023,16821.13
559,08-2023,15524.13
560,08-2023,16057.13
561,08-2023,15135.13
562,09-2023,17149.24
563,07-2023,17182.07
564,08-2023,17081.13
565,08-2023,17140.13
566,08-2023,15527.13
567,08-2023,17091.13
568,08-2023,18996.13
569,08-2023,17846.13
570,07-2023,17247.07
571,08-2023,19401.13
572,09-2023,15438.24
573,08-2023,16144.13
574,08-2023,16998.13
575,09-2023,16258.24
576,08-2023,16680.13
577,09-2023,17245.24
578,08-2023,17439.13
579,08-2023,15016.13
580,08-2023,17899.13
581,09-2023,15354.24
582,09-2023,16478.24
583,08-2023,17137.13
584,08-2023,15911.13
585,09-2023,18363.24
586,09-2023,16837.24
587,09-2023,15012.24
588,08-2023,16169.13
589,08-2023,17670.13
590,08-2023,16025.13
591,08-2023,16319.13
592,08-2023,15959.13
593,08-2023,16522.13
594,09-2023,16185.24
595,09-2023,16259.24
596,07-2023,17482.07
597,08-2023,17275.13
598,09-2023,15453.24
599,07-2023,18604.07
600,08-2023,16087.13
601,09-2023,16424.24
602,08-2023,17389.13
603,07-2023,17739.07
604,09-2023,16351.24
605,08-2023,17994.13
606,08-2023,16895.13
607,08-2023,17246.13
608,09-2023,18119.24
609,08-2023,15265.13
610,08-2023,15218.13
611,08-2023,15173.13
612,09-2023,15461.24
613,07-2023,19097.07
614,09-2023,16625.24
615,09-2023,16040.24
616,07-2023,18487.07
617,08-2023,17848.13
618,08-2023,15227.13
619,08-2023,16839.13
620,08-2023,17423.13
621,08-2023,16405.13
622,08-2023,18634.13
623,09-2023,15542.24
624,07-2023,18626.07
625,08-2023,17303.13
626,09-2023,17430.24
627,08-2023,16790.13
628,07-2023,19216.07
629,08-2023,17697.13
630,07-2023,18943.07
631,08-2023,17826.13
632,07-2023,17132.07
633,08-2023,16206.13
634,08-2023,16111.13
635,09-2023,15532.24
636,09-2023,15036.24
637,08-2023,17231.13
638,08-2023,17803.13
639,08-2023,16883.13
640,08-2023,18278.13
641,07-2023,17962.07
642,08-2023,16821.13
643,08-2023,18612.13
644,07-2023,17141.07
645,08-2023,15273.13
646,09-2023,15296.24
647,09-2023,15373.24
648,08-2023,16465.13
649,08-2023,16995.13
650,08-2023,17008.13
651,08-2023,16393.13
652,08-2023,17935.13
653,07-2023,19505.07
654,08-2023,16140.13
655,08-2023,17970.13
656,07-2023,18386.07
657,09-2023,17172.24
658,08-2023,16449.13
659,08-2023,15814.13
660,09-2023,16474.24
661,07-2023,19560.07
662,08-2023,18500.13
663,09-2023,15326.24
664,08-2023,15460.13
665,09-2023,16728.24
666,08-2023,17199.13
667,09-2023,16725.24
668,08-2023,17823.13
669,08-2023,17876.13
670,08-2023,15263.13
671,08-2023,18003.13
672,08-2023,16855.13
673,08-2023,18179.13
674,08-2023,17162.13
675,08-2023,18543.13
676,08-2023,16080.13
677,08-2023,15679.13
678,09-2023,16315.24
679,08-2023,16762.13
680,08-2023,17391.13
681,09-2023,15464.24
682,08-2023,15967.13
683,08-2023,16663.13
684,08-2023,16776.13
685,09-2023,15228.24
686,07-2023,17122.07
687,08-2023,17415.13
688,08-2023,16313.13
689,09-2023,18634.24
690,08-2023,17982.13
691,09-2023,15087.24
692,09-2023,15677.24
693,09-2023,16589.24
694,08-2023,16263.13
695,08-2023,17313.13
696,08-2023,17838.13
697,07-2023,18188.07
698,09-2023,15226.24
699,08-2023,15896.13
700,08-2023,17985.13
701,07-2023,16250.07
702,08-2023,16368.13
703,08-2023,15614.13
704,09-2023,15604.24
705,09-2023,16292.24
706,07-2023,18176.07
707,09-2023,15180.24
708,09-2023,15226.24
709,07-2023,17026.07
710,08-2023,18996.13
711,09-2023,15195.24
712,08-2023,17756.13
713,08-2023,15649.13
714,08-2023,16237.13
715,08-2023,17636.13
716,09-2023,16355.24
717,08-2023,16087.13
718,08-2023,17603.13
719,10-2023,16592.37
720,09-2023,15486.24
721,08-2023,18277.13
722,08-2023,18971.13
723,10-2023,15605.37
724,09-2023,16849.24
725,08-2023,15914.13
726,09-2023,16680.24
727,08-2023,18062.13
728,09-2023,16598.24
729,08-2023,17417.13
730,08-2023,16037.13
731,08-2023,18184.13
732,08-2023,15255.13
733,08-2023,16810.13
734,08-2023,17022.13
735,08-2023,17433.13
736,08-2023,15063.13
737,09-2023,17528.24
738,09-2023,15721.24
739,08-2023,17400.13
740,07-2023,18582.07
741,07-2023,18916.07
742,09-2023,15684.24
743,07-2023,19023.07
744,07-2023,19495.07
745,08-2023,17327.13
746,09-2023,16358.24
747,08-2023,16990.13
748,08-2023,16756.13
749,08-2023,16039.13
750,08-2023,17428.13
751,08-2023,16338.13
752,08-2023,17461.13
753,08-2023,18577.13
754,08-2023,18659.13
755,07-2023,19143.07
756,09-2023,15554.24
757,08-2023,16347.13
758,09-2023,15863.24
759,08-2023,16065.13
760,09-2023,17112.24
761,08-2023,16076.13
762,08-2023,15402.13
763,08-2023,16159.13
764,09-2023,16959.24
765,09-2023,15112.24
766,09-2023,15153.24
767,08-2023,15469.13
768,08-2023,16602.13
769,09-2023,15598.24
770,07-2023,16893.07
771,08-2023,18665.13
772,08-2023,16553.13
773,08-2023,16343.13
774,08-2023,15568.13
775,10-2023,15602.37
776,08-2023,15108.13
777,09-2023,16750.24
778,08-2023,17091.13
779,09-2023,16073.24
780,09-2023,15016.24
781,08-2023,15289.13
782,08-2023,16850.13
783,09-2023,15800.24
784,08-2023,16721.13
785,08-2023,17551.13
786,09-2023,17291.24
787,07-2023,17574.07
788,08-2023,17942.13
789,08-2023,18215.13
790,08-2023,17383.13
791,09-2023,15146.24
792,09-2023,15311.24
793,08-2023,16181.13
794,08-2023,16036.13
795,08-2023,17178.13
796,09-2023,16033.24
797,09-2023,15178.24
798,09-2023,15596.24
799,08-2023,16957.13
800,08-2023,17577.13
801,08-2023,18832.13
802,09-2023,15961.24
803,09-2023,16901.24
804,08-2023,17370.13
805,08-2023,16872.13
806,07-2023,17598.07
807,08-2023,15994.13
808,09-2023,16472.24
809,08-2023,15134.13
810,08-2023,19026.13
811,08-2023,16517.13
812,09-2023,17258.24
813,08-2023,16698.13
814,08-2023,17797.13
815,08-2023,16245.13
816,07-2023,17671.07
817,09-2023,15320.24
818,08-2023,17443.13
819,08-2023,17254.13
820,08-2023,15745.13
821,09-2023,15362.24
822,08-2023,18345.13
823,08-2023,16095.13
824,07-2023,19009.07
825,08-2023,17971.13
826,09-2023,15741.24
827,09-2023,15323.24
828,07-2023,18324.07
829,08-2023,16272.13
830,08-2023,16827.13
831,07-2023,19014.07
832,08-2023,15557.13
833,08-2023,18550.13
834,08-2023,16833.13
835,08-2023,17726.13
836,07-2023,17087.07
837,07-2023,18749.07
838,08-2023,16990.13
839,07-2023,18573.07
840,08-2023,17570.13
841,08-2023,15943.13
842,08-2023,15280.13
843,08-2023,15293.13
844,09-2023,16994.24
845,07-2023,17208.07
846,08-2023,15468.13
847,08-2023,17896.13
848,08-2023,17628.13
849,09-2023,15160.24
850,08-2023,16561.13
851,08-2023,18061.13
852,09-2023,17775.24
853,08-2023,16163.13
854,08-2023,16968.13
855,08-2023,18163.13
856,08-2023,16551.13
857,08-2023,19550.13
858,09-2023,15398.24
859,08-2023,15369.13
860,08-2023,17543.13
861,08-2023,17075.13
862,09-2023,17229.24
863,08-2023,17551.13
864,07-2023,17676.07
865,08-2023,18478.13
866,08-2023,17912.13
867,08-2023,17174.13
868,08-2023,18704.13
869,08-2023,16922.13
870,08-2023,16526.13
871,08-2023,17815.13
872,08-2023,17146.13
873,08-2023,16366.13
874,09-2023,17487.24
875,07-2023,18905.07
876,08-2023,18576.13
877,09-2023,15152.24
878,08-2023,15264.13
879,07-2023,17742.07
880,08-2023,16411.13
881,08-2023,17251.13
882,09-2023,16221.24
883,08-2023,17190.13
884,08-2023,17598.13
885,08-2023,15804.13
886,09-2023,16593.24
887,09-2023,15336.24
888,08-2023,15596.13
889,08-2023,15766.13
890,08-2023,16042.13
891,09-2023,15746.24
892,08-2023,15832.13
893,08-2023,17026.13
894,09-2023,15410.24
895,09-2023,15301.24
896,08-2023,16797.13
897,08-2023,16208.13
898,08-2023,17818.13
899,09-2023,17792.24
900,08-2023,17734.13
901,09-2023,15209.24
902,09-2023,15062.24
903,09-2023,15663.24
904,08-2023,17569.13
905,09-2023,16653.24
906,09-2023,15590.24
907,08-2023,16812.13
908,08-2023,18106.13
909,08-2023,15537.13
910,10-2023,15047.37
911,08-2023,16594.13
912,08-2023,17429.13
913,08-2023,18204.13
914,08-2023,17195.13
915,08-2023,17118.13
916,08-2023,17156.13
917,07-2023,17813.07
918,07-2023,18746.07
919,08-2023,15757.13
920,09-2023,15361.24
921,08-2023,17375.13
922,08-2023,16880.13
923,08-2023,16772.13
924,08-2023,15787.13
925,08-2023,16393.13
926,09-2023,15348.24
927,09-2023,16180.24
928,08-2023,15415.13
929,08-2023,17336.13
930,08-2023,16085.13
931,09-2023,16897.24
932,08-2023,16300.13
933,09-2023,15971.24
934,08-2023,17348.13
935,08-2023,16685.13
936,09-2023,15399.24
937,08-2023,17798.13
938,08-2023,19326.13
939,09-2023,15931.24
940,08-2023,17061.13
941,09-2023,15741.24
942,07-2023,18843.07
943,07-2023,16999.07
944,08-2023,18885.13
945,08-2023,16715.13
946,08-2023,18350.13
947,08-2023,16231.13
948,08-2023,17799.13
949,09-2023,15680.24
950,08-2023,17447.13
951,08-2023,18007.13
952,08-2023,17179.13
953,08-2023,18580.13
954,08-2023,17449.13
955,09-2023,15525.24
956,08-2023,18115.13
957,08-2023,15061.13
958,08-2023,16752.13
959,08-2023,17262.13
960,07-2023,19004.07
961,08-2023,16003.13
962,08-2023,16128.13
963,09-2023,16165.24
964,09-2023,15287.24
965,08-2023,15712.13
966,08-2023,18726.13
967,09-2023,15450.24
968,08-2023,18948.13
969,08-2023,17647.13
970,08-2023,17132.13
971,08-2023,16128.13
972,09-2023,16449.24
973,07-2023,19122.07
974,08-2023,15821.13
975,08-2023,15593.13
976,08-2023,17684.13
977,09-2023,15008.24
978,09-2023,16501.24
979,09-2023,16572.24
980,08-2023,18812.13
981,07-2023,18920.07
982,08-2023,15424.13
983,07-2023,17434.07
984,07-2023,18572.07
985,08-2023,15257.13
986,08-2023,16059.13
987,09-2023,16389.24
988,08-2023,16065.13
989,08-2023,16889.13
990,08-2023,16487.13
991,08-2023,16719.13
992,07-2023,18671.07
993,09-2023,15089.24
994,08-2023,16596.13
995,08-2023,17765.13
996,08-2023,16941.13
997,08-2023,15717.13
998,09-2023,16560.24
999,08-2023,15632.13
